Ref,Package,Mid X,Mid Y,Layer,Rotation
C3,C_0402_1005Metric,126.26,-110.79,top,180
C4,C_0402_1005Metric,128.27,-109.26,top,-90
C5,C_0402_1005Metric,123.88,-106.66,top,0
C6,C_0402_1005Metric,129.79,-104.64,top,-90
C7,C_0402_1005Metric,134.19,-106.26,top,0
MT1,XDCR_ICM-42670-P,125.77,-108.78,top,0
QLSP08RGB1,QLSP08RGB,117.804416,-113.845585,top,-45
QLSP08RGB2,QLSP08RGB,125.6,-105.98,top,0
QLSP08RGB3,QLSP08RGB,133.645585,-113.815585,top,45
R2,R_0402_1005Metric,125.59,-113.49,top,0
R3,R_0402_1005Metric,125.6,-114.59,top,0
R4,R_0402_1005Metric,125.6,-115.69,top,0
U1,SOT-23_DIO,132.095,-105.071501,top,-90
